docid,oldauthor,author,authordate,inferreddate,latestcomp,datetype,startdate,enddate,imprint,imprintdate,contents,genres,subjects,geographics,locnum,oclc,place,recordid,instances,allcopiesofwork,copiesin25yrs,enumcron,volnum,title,parttitle,earlyedition,shorttitle,nonficprob,juvenileprob,first_name,estimated_gender,avg_sentence_count,var_sentence_count,avg_line_count,var_line_count,avg_tokens_per_page,var_tokens_per_page,cap_alpha_freq,genre_tag,lcc_category,full_title,stories_match,tales_match,sketches_match,narratives_match,fables_match,anecdotes_match
mdp.39015024477674,"Mrs. Gunning, (Susannah)","Gunning, (Susannah), Mrs",1740?-1800.,1792.0,1792.0,s,1792,    ,London;Printed for W. Lane;1792.,1792,,,,,,23625306.0,enk,245027,1,1.0,1.0,v.1,1.0,Anecdotes of the Delborough family. | A novel ... | $c: By Mrs. Gunning.,,True,Anecdotes of the Delborough family. A novel,0.0350568344873572,0.0132752346490488,Susannah,f,4.91358024691358,6.5727785398567296,20.637450199203187,28.69325883716132,163.29482071713147,2413.6102919001287,0.9,['fiction'],['unknown'],anecdotes of the delborough family. | a novel ... | $c: by mrs. gunning.  anecdotes of the delborough family. a novel,False,False,False,False,False,True
mdp.39015031644233,,,,1793.0,1793.0,s,1793,    ,London;Printed for Hookham & Carpenter;1793.,1793,,,,,PZ3.M6675,23628563.0,enk,450124,1,1.0,1.0,ser.2 no.2666/v.1 1793,2.0,"The Minstrel; | or, Anecdotes of distinguished personages in the fifteenth century [a novel]",,True,"The Minstrel; or, Anecdotes of distinguished personages in the fifteenth century [a novel]",0.2497201244868522,0.0401824614751409,,unknown,5.547140649149923,5.774825672644401,23.69724770642202,12.14993126280055,176.86544342507645,1190.370273733038,1.4,['fiction'],['fiction and juvenile belles lettres'],"the minstrel; | or, anecdotes of distinguished personages in the fifteenth century [a novel]  the minstrel; or, anecdotes of distinguished personages in the fifteenth century [a novel]",False,False,False,False,False,True
nyp.33433074931506,,,,1793.0,1793.0,s,1793,    ,London;C. and G. Kearsley;1793.,1793,,,Wit and humor,,,32399529.0,enk,8637164,1,1.0,1.0,,,"The festival of wit; or, Small talker: being a collection of bon mots, anecdotes, &c., of the most exalted characters; | $c: procured and selected by G--- K---, summer resident at Windsor.",,True,"The festival of wit; or, Small talker: being a collection of bon mots, anecdotes, &c., of the most exalted characters;",0.8617990460781128,0.1745057508078536,,unknown,8.459770114942529,9.627691901175847,29.51363636363636,25.908904958677685,233.6590909090909,1950.4519628099167,0.9,['unknown'],['unknown'],"the festival of wit; or, small talker: being a collection of bon mots, anecdotes, &c., of the most exalted characters; | $c: procured and selected by g--- k---, summer resident at windsor.  the festival of wit; or, small talker: being a collection of bon mots, anecdotes, &c., of the most exalted characters;",False,False,False,False,False,True
mdp.39015021028801,,,,1795.0,1795.0,s,1795,    ,York;Printed and sold by E. and R. Peck;1795.,1795,,,"Metcalf, John|1717-1810",,,23618240.0,enk,2017336,1,1.0,1.0,,,"The life of John Metcalf, commonly called Blind Jack of Knaresborough. | With many entertaining anecdotes of his exploits in hunting, card-playing, &c. Some particulars relative to the expedition against the rebels in 1745, in which he bore a personal share; and also a succinct account of his various contracts for making roads, erecting bridges, and other undertakings, in Yorkshire, Derbyshire, and Cheshire ...",,True,"The life of John Metcalf, commonly called Blind Jack of Knaresborough. With many entertaining anecdotes of his exploits in hunting, card-playing, &c. Some particulars relative to the expedition against the rebels in 1745, in which he bore a personal share; and also a succinct account of his various contracts for making roads, erecting bridges, and other undertakings, in Yorkshire, Derbyshire, and Cheshire",0.9530786431559698,0.4378126794523188,,unknown,6.343558282208589,4.667243780345515,24.75147928994083,32.82581142116872,199.5798816568048,2783.628234305522,1.1,['unknown'],['unknown'],"the life of john metcalf, commonly called blind jack of knaresborough. | with many entertaining anecdotes of his exploits in hunting, card-playing, &c. some particulars relative to the expedition against the rebels in 1745, in which he bore a personal share; and also a succinct account of his various contracts for making roads, erecting bridges, and other undertakings, in yorkshire, derbyshire, and cheshire ...  the life of john metcalf, commonly called blind jack of knaresborough. with many entertaining anecdotes of his exploits in hunting, card-playing, &c. some particulars relative to the expedition against the rebels in 1745, in which he bore a personal share; and also a succinct account of his various contracts for making roads, erecting bridges, and other undertakings, in yorkshire, derbyshire, and cheshire",False,False,False,False,False,True
hvd.hw204v,"Rulhière, Claude Carloman de","Rulhière, Claude Carloman de",1734-1791.,1797.0,1791.0,s,1797,    ,London;M. Beauvalet;1797.,1797,,,,,,15935043.0,enk,9714009,1,1.0,1.0,,,"The history, or anecdotes, of the revolution in Russia, in the year 1762. | Tr. from the French.",,True,"The history, or anecdotes, of the revolution in Russia, in the year 1762. Tr. from the French",0.7452994407275442,0.243454292308013,Claude,m,5.28193832599119,3.303770692231559,22.085836909871244,11.202932454088304,165.88841201716738,1054.0905524139328,1.7,['unknown'],['unknown'],"the history, or anecdotes, of the revolution in russia, in the year 1762. | tr. from the french.  the history, or anecdotes, of the revolution in russia, in the year 1762. tr. from the french",False,False,False,False,False,True
ucm.5320307018,,,,1800.0,1800.0,s,1800,    ,Shrewsbury;printed by J. and W. Eddowes...;1800.,1800,,,,,,,enk,9341787,1,1.0,1.0,,,"Tales, anecdotes, and letters / | $c: translated from the arabic and persian by Jonathan Scott.",,True,"Tales, anecdotes, and letters",0.8259872284425493,0.0459575428200733,,unknown,7.052631578947368,9.541852342526798,21.948888888888888,47.88405432098766,168.48666666666668,4410.152044444444,0.4,['fiction'],['unknown'],"tales, anecdotes, and letters / | $c: translated from the arabic and persian by jonathan scott.  tales, anecdotes, and letters",False,True,False,False,False,True
uiuo.ark+=13960=t1qf9705s,"Le Noir, Elizabeth Anne","Le Noir, Elizabeth Anne",,1804.0,1804.0,s,1804,    ,London;Vernor and Hood;1804.,1804,,,,,,13044043.0,enk,8724101,1,1.0,1.0,v.1,1.0,"Village anecdotes; or, The journal of a year, from Sophia to Edward",,True,"Village anecdotes; or, The journal of a year, from Sophia to Edward",0.268269578532532,0.221345017816576,Elizabeth,f,7.097378277153558,6.844450055408268,26.0,17.73431734317343,191.8413284132841,1391.7275908552444,2.6,['unknown'],['unknown'],"village anecdotes; or, the journal of a year, from sophia to edward  village anecdotes; or, the journal of a year, from sophia to edward",False,False,False,False,False,True
uc2.ark+=13960=t4sj1sc49,"Sketchwell, Barnaby","Sketchwell, Barnaby",,1809.0,1809.0,s,1809,    ,London;Printed for B. Crosby and Co. : Sold by the booksellers in Bond-Street;1809.,1809,,,,,,11870106.0,enk,7708469,1,1.0,1.0,v.1-2,1.0,"London characters, or, Anecdotes, fashions, and customs, of the present century",,True,"London characters, or, Anecdotes, fashions, and customs, of the present century",0.2107678389697792,0.0135009553251532,Barnaby,m,5.854046242774566,5.595749523873167,26.126780626780626,22.438342627089067,168.58689458689457,1451.7752128635318,1.9,['unknown'],['unknown'],"london characters, or, anecdotes, fashions, and customs, of the present century  london characters, or, anecdotes, fashions, and customs, of the present century",False,False,False,False,False,True
uiuo.ark+=13960=t8df73z71,,,,1809.0,1809.0,s,1809,    ,London;Printed for W. Miller;1809.,1809,,,,,,12064254.0,enk,8719524,1,1.0,1.0,v.1,1.0,"The English brothers; or, Anecdotes of the Howard family",,True,"The English brothers; or, Anecdotes of the Howard family",0.1028725321570181,0.3977368653164549,,unknown,7.493827160493828,7.367245846669714,24.6030303030303,17.112112029384758,183.6818181818182,1495.31391184573,0.9,['unknown'],['unknown'],"the english brothers; or, anecdotes of the howard family  the english brothers; or, anecdotes of the howard family",False,False,False,False,False,True
uiuo.ark+=13960=t9j399s2p,,,,1809.0,1809.0,s,1809,    ,London;Printed for J. Budd;1809.,1809,,,,,,35120559.0,enk,8721661,1,1.0,1.0,v.1,1.0,"Modern times, or, Anecdotes of the English family",,True,"Modern times, or, Anecdotes of the English family",0.0281943485088643,0.0149418594727826,,unknown,4.649305555555555,5.672152295524692,22.50859106529209,14.078104887755224,158.26460481099656,1254.338919001901,1.8,['fiction'],['unknown'],"modern times, or, anecdotes of the english family  modern times, or, anecdotes of the english family",False,False,False,False,False,True
